market,tdx_prefix,stock_code,trade_date,open,high,low,close,amount,volume,source_file
sh,sh,000905.SH,2014-04-09,3987.43,4019.08,3987.43,4018.55,39980314624.0,436850.35,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-10,4022.05,4052.84,4012.66,4038.84,46752706560.0,511741.81,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-11,4021.96,4031.21,4001.8,4021.19,39566856192.0,432473.93,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-14,4019.5,4051.49,4018.74,4051.33,37820284928.0,415717.42,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-15,4050.33,4050.33,4015.09,4021.91,41713770496.0,454568.68,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-16,4010.36,4026.76,3992.5,4019.88,34759897088.0,381051.15,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-17,4025.38,4035.37,4012.71,4014.94,35587633152.0,387183.9,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-18,4006.88,4029.76,3995.55,4029.26,32247621632.0,347364.79,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-21,4004.61,4032.85,3962.29,3965.34,38253412352.0,402539.51,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-22,3957.22,3974.63,3889.78,3947.17,39218302976.0,419348.2,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-23,3942.5,3956.41,3913.17,3929.17,29374316544.0,307419.12,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-24,3924.45,3931.51,3884.59,3884.81,29781616640.0,323457.2,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-25,3879.45,3886.76,3797.47,3800.68,31763963904.0,360006.19,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-28,3785.96,3785.96,3679.96,3684.59,31495245824.0,366703.3,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-29,3678.62,3739.25,3678.01,3738.93,24757446656.0,282974.18,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-30,3734.8,3770.73,3728.41,3766.17,23450155008.0,265928.28,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-05-05,3761.23,3798.36,3746.19,3798.29,24739037184.0,286154.21,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
