source_api,metric_id,metric_name,pub_date,available_date,value,expected_value,previous_value
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-01-01,2026-03-02,19.4,0.0,4.9
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-01-01,2026-03-02,25.2,0.0,16.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-02-01,2026-03-02,45.4,0.0,19.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-02-01,2026-03-02,27.7,0.0,25.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-03-01,2026-03-02,-1.5,0.0,45.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-03-01,2026-03-02,3.4,0.0,27.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-04-01,2026-03-02,22.9,0.0,-1.5
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-04-01,2026-03-02,16.0,0.0,3.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-05-01,2026-03-02,29.6,0.0,22.9
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-05-01,2026-03-02,16.8,0.0,16.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-06-01,2026-03-02,31.0,0.0,29.6
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-06-01,2026-03-02,17.6,0.0,16.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-07-01,2026-03-02,56.8,0.0,31.0
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-07-01,2026-03-02,15.1,0.0,17.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-08-01,2026-03-02,35.7,0.0,56.8
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-08-01,2026-03-02,15.1,0.0,15.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-09-01,2026-03-02,33.7,0.0,35.7
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-09-01,2026-03-02,29.4,0.0,15.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-10-01,2026-03-02,18.4,0.0,33.7
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-10-01,2026-03-02,21.8,0.0,29.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-11-01,2026-03-02,29.6,0.0,18.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-11-01,2026-03-02,24.4,0.0,21.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1994-12-01,2026-03-02,41.6,0.0,29.6
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1994-12-01,2026-03-02,23.5,0.0,24.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1995-01-01,2026-03-02,36.9,0.0,41.6
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1995-01-01,2026-03-02,18.5,0.0,23.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1995-02-01,2026-03-02,88.1,0.0,36.9
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1995-02-01,2026-03-02,11.4,0.0,18.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1995-03-01,2026-03-02,55.0,0.0,88.1
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1995-03-01,2026-03-02,15.5,0.0,11.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1995-04-01,2026-03-02,51.7,0.0,55.0
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1995-04-01,2026-03-02,16.4,0.0,15.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1995-05-01,2026-03-02,34.2,0.0,51.7
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1995-05-01,2026-03-02,15.4,0.0,16.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1995-06-01,2026-03-02,35.6,0.0,34.2
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1995-06-01,2026-03-02,13.1,0.0,15.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1995-07-01,2026-03-02,28.8,0.0,35.6
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1995-07-01,2026-03-02,13.9,0.0,13.1
